track_number,title,artist,duration,url
1,Move (feat. Malachiii),"Adam Port, Keinemusik, Stryv",5:52,https://www.beatport.com/track/move-feat-malachiii/19119572
2,Falling Liva K Remix,"DJ Kent, Maleh, Liva K",5:20,https://www.beatport.com/track/falling/20656340
3,Opera Original Mix,"Marasi, &ME, Rampa",5:14,https://www.beatport.com/track/opera/18748349
4,Ulelè Original Mix,"Moeaike, Ajna (BE), Samm (BE)",6:23,https://www.beatport.com/track/ulele/19925767
5,Mamasay Mamasa Extended Mix,"Maximus (Kz), Adam Port, Stryv",5:02,https://www.beatport.com/track/mamasay-mamasa/20156102
6,Kiddo Extended Mix,"Oktave, JUNO (DE), Adam Port",5:44,https://www.beatport.com/track/kiddo/20489784
7,Forever (feat. Malou & Yuna) Original Mix,"Diplo, Malou, Yuna",5:47,https://www.beatport.com/track/forever-feat-malou-yuna/19434801
8,You & Me Rivo Extended Mix,"Disclosure, Eliza Doolittle, Rivo",6:02,https://www.beatport.com/track/you-me/18504766
9,Body Language Original Mix,"Samm (BE), L.P. Rhythm, Jordan Peak",6:04,https://www.beatport.com/track/body-language/20633751
10,James Bande Original Mix,"Nesta, Toman, Max Dean",8:25,https://www.beatport.com/track/james-bande/19973215
11,All By Myself Original Mix,"Mita Gami, Mau P, RÜFÜS DU SOL",5:09,https://www.beatport.com/track/all-by-myself/19854665
12,Desperadio Original Mix,"Bonafique, Bonafique, T.Markakis",5:57,https://www.beatport.com/track/desperadio/20000277
13,Marea (we've lost dancing) Original Mix,"The Blessed Madonna, Fred again.., Elton John",4:45,https://www.beatport.com/track/marea-weve-lost-dancing/14957156
14,Freydies Extended Mix,"Yuvèe, Quivver, Dave Seaman",6:05,https://www.beatport.com/track/freydies/20279912
15,In The Air Tonight Amal Nemer Extended Remix,"Kevin McKay, Kevin McKay, Amal Nemer",4:42,https://www.beatport.com/track/in-the-air-tonight/19729538
16,The One Extended Mix,"Jocelyn Brown, Luke Alessi, Chloé Caillet",5:45,https://www.beatport.com/track/the-one/20307568
17,Got The Funk Extended Mix,"Low Steppa, Capri (UK), Mau P",7:03,https://www.beatport.com/track/got-the-funk/20284313
18,Lover's Walk Original Mix,"Kino Todo, Braidy, Omri Smadar",6:50,https://www.beatport.com/track/lovers-walk/20572953
19,Spring Girl Extended,"Maori, Adam Ten, Catz 'n Dogz",5:45,https://www.beatport.com/track/spring-girl/17985216
20,She Freaks Original Mix,"Gabss, Pavel Petrov, Fabian B.",6:05,https://www.beatport.com/track/she-freaks/20218005
21,Inside Your Mind Original Mix,"Carlo Whale, Th;en, Innellea",5:48,https://www.beatport.com/track/inside-your-mind/20425511
22,Galaxy Extended Mix,"ARTBAT, Armin van Buuren, JOA (US)",5:09,https://www.beatport.com/track/galaxy/20691265
23,SOS Extended Mix,"Cassian, Shakedown, Layton Giordani",4:18,https://www.beatport.com/track/sos/20437726
24,Waste Away Original Mix,"HotLap, Jaquet, Ewerseen",6:10,https://www.beatport.com/track/waste-away/20430528
25,Knight Rider Extended Mix,"Michael Cassette, Joseph Ray, Tom Baker",5:13,https://www.beatport.com/track/knight-rider/19868399
26,The Summit Extended Mix,"Braxton, Jon Gurd, Reset Robot",4:40,https://www.beatport.com/track/the-summit/19593499
